,unique_words,total_words,lex_div,unusual_words,content_frac,avg_len_words,compound,neg,neu,pos,NN,PR,RB,RBR,RBS,UH,VB,JJ,JJR,JJS,EX,labels,artist
85,53.0,217.0,0.244239631336,1,0.520737327189,3.44700460829,0.504,0.113,0.76,0.127,0.0837004405286,0.180616740088,0.167400881057,0.00881057268722,0.0,0.0,0.25550660793,0.0264317180617,0.00881057268722,0.0,0.0,Start a War-the national,the national
86,108.0,271.0,0.39852398524,5,0.549815498155,3.78597785978,0.9989,0.0,0.654,0.346,0.164874551971,0.154121863799,0.0573476702509,0.0,0.0,0.0,0.21146953405,0.0645161290323,0.0,0.0,0.0,"You've Done It Again, Virginia-the national",the national
87,105.0,224.0,0.46875,8,0.611607142857,4.01339285714,0.3877,0.181,0.666,0.153,0.28085106383,0.131914893617,0.063829787234,0.00851063829787,0.0,0.0,0.187234042553,0.0468085106383,0.0,0.0,0.0,Little Faith-the national,the national
88,50.0,99.0,0.505050505051,5,0.515151515152,3.75757575758,-0.3987,0.168,0.638,0.195,0.285714285714,0.133333333333,0.0285714285714,0.0,0.0,0.0,0.161904761905,0.047619047619,0.0,0.0,0.0,Sin-Eaters-the national,the national
89,84.0,347.0,0.242074927954,3,0.507204610951,3.72622478386,-0.2144,0.026,0.941,0.033,0.153846153846,0.14245014245,0.108262108262,0.0,0.0,0.0,0.19943019943,0.045584045584,0.0,0.0,0.0,Looking for Astronauts-the national,the national
90,51.0,339.0,0.150442477876,7,0.631268436578,3.42182890855,0.8608,0.0,0.962,0.038,0.273529411765,0.167647058824,0.0235294117647,0.0,0.0,0.0,0.182352941176,0.0411764705882,0.0,0.0,0.0,Afraid Of Everyone-the national,the national
91,44.0,147.0,0.299319727891,1,0.482993197279,3.36054421769,-0.984,0.288,0.687,0.024,0.135802469136,0.197530864198,0.117283950617,0.0,0.0,0.0,0.253086419753,0.0740740740741,0.0,0.0,0.0,Cherry Tree-the national,the national
92,57.0,142.0,0.401408450704,4,0.422535211268,3.05633802817,0.1428,0.055,0.886,0.059,0.18954248366,0.0849673202614,0.117647058824,0.0,0.0,0.0,0.130718954248,0.0392156862745,0.0,0.0,0.0,The Rains of Castamere-the national,the national
93,124.0,330.0,0.375757575758,10,0.521212121212,3.33333333333,0.9938,0.051,0.749,0.2,0.16369047619,0.232142857143,0.0357142857143,0.00297619047619,0.0,0.0,0.21130952381,0.0535714285714,0.0,0.0,0.00297619047619,Wake Up Your Saints-the national,the national
94,55.0,187.0,0.294117647059,5,0.593582887701,3.87700534759,0.9878,0.034,0.746,0.22,0.242105263158,0.126315789474,0.00526315789474,0.0,0.0,0.0,0.147368421053,0.0736842105263,0.0,0.0,0.0,Squalor Victoria-the national,the national
95,72.0,223.0,0.322869955157,3,0.466367713004,3.23766816143,-0.9787,0.17,0.793,0.037,0.160173160173,0.181818181818,0.04329004329,0.0,0.0,0.0,0.246753246753,0.030303030303,0.012987012987,0.0,0.0,Think You Can Wait (From the…-the national,the national
96,148.0,402.0,0.36815920398,11,0.514925373134,3.38805970149,0.8576,0.184,0.614,0.202,0.143203883495,0.165048543689,0.0922330097087,0.0,0.0,0.0,0.223300970874,0.0631067961165,0.0,0.0,0.0,Don't Swallow the Cap-the national,the national
97,65.0,215.0,0.302325581395,3,0.53023255814,3.23720930233,-0.9622,0.199,0.716,0.086,0.183035714286,0.214285714286,0.0401785714286,0.0,0.0,0.0,0.236607142857,0.0535714285714,0.0,0.0,0.00892857142857,Guilty Party-the national,the national
98,89.0,210.0,0.42380952381,8,0.519047619048,3.54285714286,-0.9475,0.165,0.741,0.093,0.199052132701,0.184834123223,0.0900473933649,0.0,0.0,0.0,0.218009478673,0.0379146919431,0.0,0.0,0.0,Carin at the Liquor Store-the national,the national
99,70.0,181.0,0.386740331492,10,0.53591160221,3.29834254144,-0.9042,0.103,0.88,0.017,0.180327868852,0.136612021858,0.0874316939891,0.0,0.0,0.016393442623,0.158469945355,0.0491803278689,0.0,0.0,0.0,Guest Room-the national,the national
100,57.0,245.0,0.232653061224,3,0.559183673469,3.07346938776,0.9954,0.018,0.725,0.257,0.173228346457,0.196850393701,0.0472440944882,0.0,0.0,0.0,0.216535433071,0.0826771653543,0.0,0.0157480314961,0.0,Mr. November-the national,the national
101,94.0,259.0,0.362934362934,11,0.548262548263,3.6332046332,-0.6249,0.121,0.751,0.128,0.221014492754,0.159420289855,0.0507246376812,0.0,0.0,0.0,0.130434782609,0.0615942028986,0.0,0.0,0.0,Peggy-O-the national,the national
102,75.0,342.0,0.219298245614,10,0.540935672515,4.19883040936,0.9559,0.027,0.886,0.087,0.278735632184,0.0977011494253,0.0632183908046,0.0,0.0,0.0,0.189655172414,0.0229885057471,0.0,0.0,0.0,England-the national,the national
103,241.0,425.0,0.567058823529,22,0.564705882353,3.70823529412,0.9549,0.111,0.75,0.139,0.229213483146,0.0719101123596,0.0674157303371,0.0,0.0,0.0,0.161797752809,0.0606741573034,0.00224719101124,0.00674157303371,0.0,Terrapin Station (Suite)-the national,the national
104,91.0,259.0,0.351351351351,0,0.490347490347,3.49806949807,-0.8174,0.178,0.685,0.137,0.133079847909,0.167300380228,0.114068441065,0.0,0.0,0.0,0.220532319392,0.0494296577947,0.00760456273764,0.0,0.0152091254753,You Were a Kindness-the national,the national
